Series,Historical 95% VaR,Historical 95% Expected Shortfall,Historical 99% VaR,Historical 99% Expected Shortfall,Worst Daily Return,Best Daily Return,Observations
GAU/TRY,-0.016383593647785664,-0.02995099844927103,-0.038597413199961274,-0.053194829976408786,-0.0924354616611297,0.0783845274151964,750
USD/TRY,-0.0025861262462423336,-0.006209617361166398,-0.00591707397151521,-0.014847798712324414,-0.0513922411255667,0.0775963174314733,750
BIST 30 Futures,-0.025887972842631304,-0.03813841301411984,-0.03742969943180345,-0.0674652334692385,-0.0999871261211002,0.0998245452026964,750
HST Bond Fund,-0.004596713690869358,-0.00839911704601209,-0.010723379933452503,-0.0159767623732594,-0.024879157100248,0.0266101214991762,750
Balanced Multi-Asset,-0.007532999984651361,-0.013232458135559236,-0.015123606061992558,-0.023681331833425648,-0.0339075775822937,0.0497011320886257,750
Conservative / Pension-like,-0.005140738593089261,-0.008861833279718925,-0.009246532875568774,-0.016781534923465714,-0.0365135962254451,0.0554852332210437,750
FX & Gold Hedge Tilt,-0.008620928871512432,-0.013622959195537191,-0.015679704956420387,-0.023710350452243185,-0.0349559671413653,0.0412214142728543,750
