Portfolio,Mean Ending Value,5th Percentile,95th Percentile,Probability of Loss
Balanced Multi-Asset,150.84187140263305,125.06392344374015,178.8941081170062,0.0002
Conservative / Pension-like,143.84834696659058,124.49596966233884,164.88453768376635,0.0
FX & Gold Hedge Tilt,148.48015319888955,121.87418919659883,179.01613372483638,0.0004
