,GAU/TRY,USD/TRY,BIST 30 Futures,HST Bond Fund
GAU/TRY,1.0,0.28397944924178375,0.03527054501768659,-0.02949729509858211
USD/TRY,0.28397944924178375,1.0,0.042625542102227056,0.003902901241389776
BIST 30 Futures,0.03527054501768659,0.042625542102227056,1.0,0.017695913108236126
HST Bond Fund,-0.02949729509858211,0.003902901241389776,0.017695913108236126,1.0
