Portfolio,Total Return,Annualized Return,Annualized Volatility,Max Drawdown,Best Daily Return,Worst Daily Return,Return / Volatility,Start Date,End Date,Observations
Balanced Multi-Asset,2.364431895822525,0.5032885346088289,0.10936099300105265,-0.07242071044233278,0.0497011320886257,-0.0339075775822937,4.602084534876019,2023-05-02,2026-04-29,750
Conservative / Pension-like,1.913186601545326,0.4322794146504261,0.0856807233568583,-0.043021819941025274,0.0554852332210437,-0.0365135962254451,5.045235354164693,2023-05-02,2026-04-29,750
FX & Gold Hedge Tilt,2.1847847482880947,0.4758251549740604,0.11777045301999177,-0.06420967319622939,0.0412214142728543,-0.0349559671413653,4.040276170910952,2023-05-02,2026-04-29,750
