Date,GAU/TRY,USD/TRY,BIST 30 Futures,HST Bond Fund,Balanced Multi-Asset,Conservative / Pension-like,FX & Gold Hedge Tilt
2023-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04,-0.00040147300132964414,0.0,-0.019821379750296075,0.0,-0.0030707246797921917,-0.0016648266354283292,-0.004855249634175163
2023-05-05,-0.01603635664807379,0.0,-0.047662444181171826,0.0,-0.013814249013725077,-0.008411410802149022,-0.01697522603179802
2023-05-08,-0.013512367469171616,-0.0009120160678783851,-0.0010024605850722512,-0.0005162536239330384,-0.0036113746363802823,-0.0011441957586744156,-0.002201957082574091
2023-05-09,-0.005629180551589563,-0.0007992949808374172,-0.011437163947871976,-0.0005664449484822365,-0.0028798380306657156,-0.0010639511112645605,-0.003325228392048629
2023-05-10,-0.006706777657871643,0.0,-0.013123120386402842,-9.799258602427585e-05,-0.0029727710811409125,-0.0005386327659265833,-0.003618382265375253
2023-05-11,-0.012741321453051846,0.0,0.0,-0.0010396774370875494,0.0,0.0,0.0
2023-05-12,-0.015093361924019999,0.0,-0.021704450041981627,-0.002402013389133373,-0.005078376421005282,-0.0034351846003222164,-0.007247262282347844
2023-05-15,-0.00785439912485053,0.0,-0.11952141057934496,-0.0031070819958938234,-0.021116446440973657,-0.014678793714798632,-0.034443385739655885
2023-05-16,-0.017642248653391812,0.0,-0.10310663308144408,0.0,-0.017241154244613033,-0.009527441382842006,-0.026542401479631827
2023-05-17,-0.019183562637178908,0.0,-0.0948362720403022,0.0,-0.013585061499589157,-0.005872361255932268,-0.020582456057714693
2023-05-18,-0.029183041344716054,0.0,-0.1327875734676741,0.0,-0.02433132341040356,-0.012673302117289342,-0.03429668221208071
2023-05-22,-0.02128351540963791,0.0,-0.13442485306465124,0.0,-0.019540718263985846,-0.008474220468825844,-0.02963187655555799
2023-05-23,-0.018239011816221118,0.0,-0.12363560033585186,-0.0014591484254024012,-0.01602110137625601,-0.005845492402158925,-0.02545577963264778
2023-05-24,-0.023816063121514186,0.0,-0.13501259445843794,-0.004491978119645523,-0.02032759450415167,-0.008264269656381718,-0.03094410122130009
2023-05-25,-0.026530674171202695,0.0,-0.1415197313182197,-0.008725112013120984,-0.02275637970679778,-0.009515417907966617,-0.03442375974812373
2023-05-26,-0.027218469002937895,-5.017083168190606e-05,-0.10092359361880743,-0.009121395651417119,-0.013828898382785448,-0.0027138620425393167,-0.021002345845439696
2023-05-29,-0.021194039837636014,0.0,-0.07430730478589398,-0.00519520977835608,-0.002876406849478763,0.0,-0.008240502152646045
2023-05-30,0.0,0.0,-0.01851385390428184,-0.0028358332035295364,0.0,0.0,0.0
2023-05-31,0.0,0.0,-0.02732997481108279,-0.008846516827165196,0.0,0.0,0.0
2023-06-01,0.0,0.0,-0.024055415617128095,-0.008454814502606545,0.0,0.0,0.0
2023-06-02,-0.010380005465538078,0.0,0.0,-0.015157276500609052,0.0,0.0,0.0
2023-06-05,0.0,0.0,0.0,-0.01629802362125332,0.0,0.0,0.0
2023-06-06,0.0,0.0,0.0,-0.029659425136752016,0.0,0.0,0.0
2023-06-07,0.0,0.0,0.0,-0.02854387524166402,0.0,0.0,0.0
2023-06-08,0.0,-0.005329995095888274,-0.006362147129414519,-0.030080906000604424,0.0,0.0,0.0
2023-06-09,-0.0067169450019829435,0.0,-0.007619337879538279,-0.029730435499683572,0.0,0.0,0.0
2023-06-12,0.0,0.0,-0.018857861251857178,-0.029817480460696655,0.0,0.0,0.0
2023-06-13,-0.00913559219746396,0.0,-0.05649739037677626,-0.03016107899101106,-0.010914285145451452,-0.007619870699115849,-0.013875402554611393
2023-06-14,-0.011348411799022129,-0.0030988717905297003,-0.07470760790887265,-0.029515113754019717,-0.016326079236162694,-0.012374632011572628,-0.02058278777119671
2023-06-15,-0.0006578109179176117,0.0,-0.04693512133795552,-0.02856678181035166,-0.005184341327800324,-0.0033554156332227247,-0.007967528282308511
2023-06-16,-0.003010105209513614,-0.001783781955904007,-0.06141186330907822,-0.028055965328617094,-0.009479993175458223,-0.006905697325414684,-0.01329539627774734
2023-06-19,-0.007170206060443163,-0.0020754429866086666,-0.0942512095698882,-0.026896892953022666,-0.017767487607735943,-0.012913865955184067,-0.02444503698161704
2023-06-20,-0.015204752868283156,-0.004522859461652651,-0.10648024686654711,-0.026250927716031325,-0.02382677654557608,-0.01762269254813642,-0.03068679622172732
2023-06-21,-0.01759392748657196,-0.005507743811713373,-0.11383290792030143,-0.02557060262600841,-0.0264496606545227,-0.019694942006325045,-0.03369009979728588
2023-06-22,0.0,0.0,-0.07421235094670242,-0.02560267182217113,0.0,0.0,0.0
2023-06-23,0.0,0.0,-0.049868566421577665,-0.026608270187558403,0.0,0.0,0.0
2023-06-26,0.0,0.0,-0.024000914320545408,-0.018322964293239985,0.0,0.0,0.0
2023-06-27,-0.006696907431267052,0.0,0.0,-0.019259842952564332,0.0,0.0,0.0
2023-07-03,-0.007769553469234802,-0.0036728791526609017,0.0,-0.01629115165064665,0.0,0.0,0.0
2023-07-04,-0.0021682330605630185,-0.0001846054443221945,-0.003955668008980284,-0.015299297226471942,0.0,0.0,0.0
2023-07-05,-0.0007012500976540936,0.0,0.0,-0.00960701490759408,0.0,0.0,0.0
2023-07-06,-0.003769761798176119,0.0,-0.00950987564008765,-0.007476704019643843,-0.0025493563640811567,-0.001543459355011767,-0.003013081631796699
2023-07-07,0.0,-0.0010390187981887955,-0.006723098895739632,-0.007291160813273745,-0.0009282651649947793,-0.0008447249973198012,-0.0013734794322104449
2023-07-10,0.0,0.0,-0.0015675619186956702,-0.00413921696185493,0.0,0.0,0.0
2023-07-11,0.0,-0.00394708605414007,0.0,-0.003882663392553276,0.0,0.0,0.0
2023-07-12,0.0,0.0,0.0,-0.003969708353566359,0.0,0.0,0.0
2023-07-13,-0.004233550356089744,-0.004982244535602476,-3.42959050688707e-05,-0.0033054178616248597,-0.002883234460107631,-0.003242936018561071,-0.001898390757299695
2023-07-14,-0.0011094654377264979,-0.0014349782648622744,0.0,-0.0031404905670738836,0.0,-4.6841521659235497e-05,0.0
2023-07-17,0.0,0.0,0.0,-0.002251715701993451,0.0,0.0,0.0
2023-07-18,0.0,0.0,-0.03521337908518496,0.0,0.0,0.0,0.0
2023-07-19,-0.003945499899567162,-0.005390304880993457,-0.005030482726454788,0.0,0.0,0.0,0.0
2023-07-20,-0.006037076137579422,-0.007169737022961642,0.0,-0.0007827717401196477,0.0,0.0,0.0
2023-07-21,-0.0062496204565732905,0.0,-0.009806835066864639,-0.0031811479438587087,0.0,0.0,-0.0017456683253256333
2023-07-24,-0.008109383247770663,-0.001898201528200416,-0.01644378405151048,0.0,-0.0017089718252341068,-0.0014727592725890526,-0.0031747529036915134
2023-07-25,-0.006382752612426712,-0.0030067215612707976,-0.030378074954597767,-0.0004675803398357381,-0.004331996373294733,-0.00387161101789657,-0.007315575174842048
2023-07-26,-0.0029329948195243594,-0.0020464985225910892,-0.006009575697539682,0.0,0.0,0.0,0.0
2023-07-27,-0.01394208984785561,-0.0012494021777413877,0.0,0.0,0.0,0.0,0.0
2023-07-28,-0.010242417306245977,-0.0026915904481904507,0.0,0.0,0.0,0.0,0.0
2023-07-31,-0.006717334740952929,-0.0028695468414593472,0.0,0.0,0.0,0.0,0.0
2023-08-01,-0.010943696776333445,-0.002932573064075239,-0.015716667695917952,-0.00022457728939695443,-0.004685212783821946,-0.0032737793312855867,-0.005847522130576821
2023-08-02,-0.019761366449762674,-0.0006117251018614711,0.0,0.0,-0.0034961957734904736,-0.001169475753646232,-0.002195350228056059
2023-08-03,-0.011941604032269626,-0.00021873806672612073,-0.01664508969853895,0.0,-0.003876100736538657,-0.0018356446486277322,-0.005046740640879066
2023-08-04,-0.016875668580344394,-0.0013272580997962802,0.0,0.0,0.0,0.0,0.0
2023-08-07,-0.017917953221564864,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-08,-0.02189673616009513,0.0,-0.009966777408637717,-0.00020152667653383638,-0.0033881822818108143,-0.0022465480820448303,-0.004017669678985092
