Asset,Total Return,Annualized Return,Annualized Volatility,Max Drawdown,Best Daily Return,Worst Daily Return,Return / Volatility,Start Date,End Date,Observations
GAU/TRY,4.247129431778836,0.7453949582125414,0.2116123953521971,-0.19046143688070138,0.0783845274151964,-0.0924354616611297,3.522454140609028,2023-05-02,2026-04-29,750
USD/TRY,1.3231239168779578,0.32739543065988275,0.08379510604977153,-0.05165044544003283,0.0775963174314733,-0.0513922411255667,3.9070948900693634,2023-05-02,2026-04-29,750
BIST 30 Futures,2.007357981810758,0.44767209413659415,0.3252835659027581,-0.24319561386332345,0.0998245452026964,-0.0999871261211002,1.3762518032356528,2023-05-02,2026-04-29,750
HST Bond Fund,1.2122472687308776,0.3057622603757475,0.06361263115441596,-0.06807147697685167,0.0266101214991762,-0.024879157100248,4.806628099276815,2023-05-02,2026-04-29,750
