Asset,Total Return,Annualized Return,Annualized Volatility,Max Drawdown,Best Daily Return,Worst Daily Return,Return / Volatility,Start Date,End Date,Observations
GAU/TRY,4.247129431778762,0.7466933736314443,,-0.19046143688070238,0.07838452741519641,-0.0924354616611297,,2023-05-02,2026-04-29,749
USD/TRY,1.3231239168779343,0.3278974524141578,,-0.05165044544003283,0.07759631743147333,-0.05139224112556673,,2023-05-02,2026-04-29,749
BIST 30 Futures,2.0073579818107032,0.44838732570822626,,-0.24319561386332478,0.09982454520269646,-0.09998712612110028,,2023-05-02,2026-04-29,749
HST Bond Fund,1.212247268730855,0.3062274438416388,,-0.06807147697685201,0.026610121499176298,-0.024879157100248017,,2023-05-02,2026-04-29,749
