Date,GAU/TRY Index 100,USD/TRY Index 100,BIST 30 Futures Index 100,HST Bond Fund Index 100
1970-01-01 00:00:00.000045048,100.0,100.0,100.0,100.0
1970-01-01 00:00:00.000045049,101.79187766603677,100.06170903163103,100.29706137745076,100.50275115264017
1970-01-01 00:00:00.000045050,101.7510109753992,100.2391224975702,98.30903523604954,100.8392039853754
1970-01-01 00:00:00.000045051,100.15950681190708,100.36562601241378,95.51665828801244,100.8392039853754
1970-01-01 00:00:00.000045054,100.41642840963631,100.27409094882778,100.19651752662126,100.78714538088343
1970-01-01 00:00:00.000045055,101.2188728079693,100.28540427129346,99.14994744298707,100.78208412766891
1970-01-01 00:00:00.000045056,101.10918217515336,100.47155985004706,98.98085096659202,100.82932249100422
1970-01-01 00:00:00.000045057,100.49491463138405,100.48493014023379,108.86156939810793,100.73436374021793
1970-01-01 00:00:00.000045058,100.25549601549766,100.58572155856442,106.49878890361502,100.59698686725298
1970-01-01 00:00:00.000045061,100.9923636311797,101.05882413440226,95.85028106576482,100.52588831019216
1970-01-01 00:00:00.000045062,99.99604004935682,101.42342166295555,97.63721950550706,102.26888751244225
1970-01-01 00:00:00.000045063,99.83914680487422,101.52267035549545,98.53754398793474,103.72219022117677
1970-01-01 00:00:00.000045064,98.82128109155246,101.73968045006454,94.40610575385038,104.01140469057665
1970-01-01 00:00:00.000045068,99.62538866915563,101.97828870570449,94.22786892737992,105.21525991945377
1970-01-01 00:00:00.000045069,99.93529440649051,102.05542499524324,95.40240391206983,105.06173523861399
1970-01-01 00:00:00.000045070,99.3675958822849,102.28117720262675,94.16388647685207,104.74263527404277
1970-01-01 00:00:00.000045071,99.09127052640414,102.49818729719581,93.45550934600794,104.2972449911669
1970-01-01 00:00:00.000045072,99.02125859903282,102.49304487789325,97.87486860746768,104.25554990516177
1970-01-01 00:00:00.000045075,99.63449655563494,103.32097438560943,100.77235958137196,104.66864457228795
1970-01-01 00:00:00.000045076,102.79778432841613,105.26840857549841,106.84612220648052,104.91688699185619
1970-01-01 00:00:00.000045077,103.94205166626801,106.94843696165297,105.88638544856268,104.28447135210175
1970-01-01 00:00:00.000045078,105.20187036388779,106.95615059060685,106.2428591015036,104.32568441399124
1970-01-01 00:00:00.000045079,104.10987437452579,107.77945192095073,108.98496412412595,103.62048313277114
1970-01-01 00:00:00.000045082,106.26448351947741,109.32269195365652,113.74251633837575,103.50045912797019
1970-01-01 00:00:00.000045083,109.79303713958508,110.93175495343539,115.08157762442302,102.0946357946288
1970-01-01 00:00:00.000045084,115.36650927182843,119.53965062403257,119.96252456469082,102.21200866679361
1970-01-01 00:00:00.000045085,117.62629470586279,118.90250487244228,119.19930533339426,102.05028957598749
1970-01-01 00:00:00.000045086,116.83620535353647,120.16445456929668,119.04848955715003,102.08716442083599
1970-01-01 00:00:00.000045089,118.11027987347164,121.468057862502,117.70028792102738,102.07800596263831
1970-01-01 00:00:00.000045090,117.03127252221928,121.4716575560138,113.18495498377588,102.04185415396334
1970-01-01 00:00:00.000045091,116.76991577976972,121.09523246306458,111.0004113157534,102.10981955427232
1970-01-01 00:00:00.000045092,118.03258564185255,121.65729889283712,114.33206891823957,102.20959854621528
1970-01-01 00:00:00.000045093,117.75475550472738,121.44028879826803,112.59540240391206,102.2633442351121
1970-01-01 00:00:00.000045096,117.26340482892222,121.40480610508018,108.65591152141127,102.38529633637572
1970-01-01 00:00:00.000045097,116.31444225679171,121.1070600274605,107.18888533430831,102.45326173668468
1970-01-01 00:00:00.000045098,116.03225617395903,120.98724165771029,106.30684155203144,102.52484231786116
1970-01-01 00:00:00.000045099,121.33526367727352,127.98298887694703,111.05982359124353,102.5214681490515
1970-01-01 00:00:00.000045100,123.45185729605066,129.75866626212968,113.98016544033635,102.4156638556627
1970-01-01 00:00:00.000045103,127.73486071269609,133.25911108139934,117.08331429093735,103.2874044688456
1970-01-01 00:00:00.000045104,126.87943217475737,133.71010125423606,121.21475252502172,103.18883053719176
1970-01-01 00:00:00.000045110,126.74241788250352,133.21900021083917,128.24368173301036,103.50118216414369
1970-01-01 00:00:00.000045111,127.45790176471239,133.68541764158365,127.73639230382523,103.60554038518548
1970-01-01 00:00:00.000045112,127.64528662914745,134.07932696016167,131.1960148073671,104.20445534890112
1970-01-01 00:00:00.000045113,127.25333071448597,134.12612297581518,129.94835702207394,104.42859656268604
1970-01-01 00:00:00.000045114,127.7427806139824,133.98676341271513,130.31397102509027,104.44811853937053
