Portfolio,Total Return,Annualized Return,Annualized Volatility,Max Drawdown,Best Daily Return,Worst Daily Return,Return / Volatility,Start Date,End Date,Observations
Balanced Multi-Asset,2.364431895822558,0.5041069458032299,,-0.072420710442333,0.049701132088625734,-0.03390757758229371,,2023-05-02,2026-04-29,749
Conservative / Pension-like,1.9131866015453478,0.4329665900896449,,-0.04302181994102605,0.055485233221043755,-0.036513596225445116,,2023-05-02,2026-04-29,749
FX & Gold Hedge Tilt,2.184784748288122,0.4765922656512118,,-0.06420967319623005,0.04122141427285432,-0.03495596714136533,,2023-05-02,2026-04-29,749
