PTF factor,CAPEX factor,PTF TRY/MWh,CAPEX TRY mn,Revenue TRY mn,EBITDA TRY mn,Simple payback,Project IRR,NPV @ 15% TRY mn
0.8,0.9,2095.848,150.39,25.150176,22.142376,6.791954034201208,0.13017334203468628,-15.926000030544861
0.8,1.0,2095.848,167.1,25.150176,21.808176,7.662263914231066,0.11041634130524472,-34.72786860906527
0.8,1.1,2095.848,183.81,25.150176,21.473975999999997,8.559663101048452,0.09360315530793739,-53.52973718758579
0.9,0.9,2357.829,150.39,28.293948000000004,25.286148000000004,5.947525103467715,0.15395728938747194,3.2353521164725567
0.9,1.0,2357.829,167.1,28.293948000000004,24.951948000000005,6.696871923586886,0.13259256409946826,-15.566516462047925
0.9,1.1,2357.829,183.81,28.293948000000004,24.617748000000002,7.466564366488762,0.11452125819632784,-34.3683850405684
1.0,0.9,2619.81,150.39,31.43772,28.42992,5.289849566935116,0.17700277366675432,22.396704263489905
1.0,1.0,2619.81,167.1,31.43772,28.09572,5.947525103467717,0.15395728916628282,3.5948356849694587
1.0,1.1,2619.81,183.81,31.43772,27.761519999999997,6.6210351594581285,0.13456453492399303,-15.207032893551029
1.1,0.9,2881.791,150.39,34.581492,31.573691999999998,4.763142682205173,0.19951334614306682,41.55805641050731
1.1,1.0,2881.791,167.1,34.581492,31.239492,5.3489986328842996,0.17472508233040568,22.75618783198688
1.1,1.1,2881.791,183.81,34.581492,30.905291999999996,5.947525103467718,0.15395728927687738,3.954319253466424
1.2,0.9,3143.772,150.39,37.725264,34.71746400000001,4.331825619521056,0.22163081602193413,60.7194085575247
1.2,1.0,3143.772,167.1,37.725264,34.383264000000004,4.85992254836539,0.19504652980249368,41.917539979004246
1.2,1.1,3143.772,183.81,37.725264,34.049064,5.398386281631707,0.17285745658446097,23.115671400483794
