Case,Real WACC,Real terminal growth,PV of FCFF,PV of terminal value,Enterprise value,Equity value,Implied price,,,,,,,,,,,,,,,,,,,,
Bear real DCF,0.13,0.01,124306.07445723878,193956.22399841138,318262.29845565016,219068.29845565016,62.428627983143876,,,,,,,,,,,,,,,,,,,,
Base real DCF,0.11,0.02,131039.67087069366,285560.79253532586,416600.4634060195,317406.4634060195,90.45238477273931,,,,,,,,,,,,,,,,,,,,
Bull real DCF,0.095,0.025,136472.1706597089,394921.7380915651,531393.908751274,432199.908751274,123.16545802378786,,,,,,,,,,,,,,,,,,,,
