model,sample,auc,gini,accuracy,precision,recall,f1,threshold,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,Train,0.7099867724033943,0.4199735448067885,0.7907793500512305,0.5583054018239925,0.07038896969220489,0.12501636339835057,0.5,743569,11333,189187,14325
Logistic Regression,Test,0.7085791456593966,0.41715829131879323,0.7908752282410225,0.5604204753199269,0.07029351066269204,0.12491850040749797,0.5,318721,4809,81089,6131
XGBoost,Train,0.7220687480178827,0.44413749603576536,0.7926564094431008,0.5785332590237026,0.08671233145956996,0.15081939191932142,0.5,742046,12856,185865,17647
XGBoost,Test,0.7179065366073645,0.43581307321472895,0.7923822276323798,0.5753084503763483,0.08500343957807842,0.14812150998431678,0.5,318057,5473,79806,7414
