pd_threshold,approval_rate,rejection_or_review_rate,approved_loans,rejected_or_review_loans,approved_default_rate,rejected_or_review_default_rate,exposure_retained,exposure_retained_share,exposure_rejected_or_review,default_capture_rate_in_rejected_or_review,defaults_in_approved,defaults_in_rejected_or_review
0.05,0.059569080949482656,0.9404309190505173,24468,386282,0.03764100049043649,0.22340932272277766,331271650.0,0.05584064073794572,5601175500.0,0.9894404952992433,921,86299
0.1,0.20221545952525868,0.7977845404747413,83060,327690,0.0657476522995425,0.24950105282431567,1112431650.0,0.18751648718859637,4820015500.0,0.9373882137124513,5461,81759
0.15,0.367184418746196,0.632815581253804,150821,259929,0.09222853581397816,0.28203855668278643,1974337400.0,0.3328032007836766,3958109750.0,0.8405182297638156,13910,73310
0.2,0.5246013390139987,0.4753986609860012,215480,195270,0.1169667718581771,0.31759102780765097,2807866100.0,0.4733065510747955,3124581050.0,0.7110295803714745,25204,62016
0.25,0.6637200243457091,0.3362799756542909,272623,138127,0.13877038987906376,0.3575550037284528,3570956650.0,0.6019365296832017,2361490500.0,0.566246273790415,37832,49388
0.3,0.7746122945830798,0.22538770541692027,318172,92578,0.15792087298693788,0.3993821426256778,4233762625.0,0.713662088839679,1698684525.0,0.42391653290529696,50246,36974
0.35,0.8537017650639075,0.1462982349360925,350658,60092,0.1733911674623137,0.4396425480929242,4766272650.0,0.8034243760603919,1166174500.0,0.30290071084613623,60801,26419
0.4,0.9085112598904443,0.0914887401095557,373171,37579,0.1853841804427461,0.4800553500625349,5177125925.0,0.8726796537917746,755321225.0,0.20683329511579912,69180,18040
0.5,0.9733657942787584,0.02663420572124163,399810,10940,0.20281883894850053,0.5604204753199269,5703763575.0,0.9614520670445417,228683575.0,0.07029351066269204,81089,6131
