risk_band,loans,exposure,avg_pd,actual_default_rate,defaults,exposure_share,default_share
Low Risk,102688,1363561475.0,0.0724205041679767,0.07370870987846681,7569,0.22984806109903566,0.08678055491859665
Medium Risk,102687,1312785000.0,0.1526933790077573,0.15225880588584728,15635,0.22128894987290362,0.17925934418711303
High Risk,102687,1404293350.0,0.23657326782715543,0.23483985314596784,24115,0.23671400932749986,0.27648475120385235
Very High Risk,102688,1851807325.0,0.38703965590318923,0.38856536304144595,39901,0.3121489797005608,0.45747534969043796
