ifrs9_stage_proxy,loans,exposure,avg_pd_12m,avg_pd_ecl,lgd,ecl,actual_default_rate,exposure_share,ecl_share,ecl_rate
Stage 1,182171,2375888000.0,0.11011753406007944,0.11011753406007944,0.45,116603271.17160825,0.0,0.40049037773560275,0.08694010657574962,0.04907776425976656
Stage 2,141359,2192438375.0,0.29806507055934717,0.5928386062549743,0.45,610733181.0122917,0.0,0.36956728303934405,0.45536636590932855,0.2785634424102304
Stage 3,87220,1364120775.0,0.28616449752885903,1.0,0.45,613854348.75,1.0,0.2299423392250532,0.45769352751492187,0.45
