risk_band,loans,exposure,avg_pd_12m,avg_pd_ecl,actual_default_rate,ecl,defaults,exposure_share,ecl_share,ecl_rate
Low Risk,102688,1363561475.0,0.0724205041679767,0.14011526259891519,0.07370870987846681,84840294.69180465,7569,0.22984806109903566,0.06325743856334873,0.062219633105874195
Medium Risk,102687,1312785000.0,0.1526933790077573,0.2812046823015701,0.15225880588584728,166969290.22980362,15635,0.22128894987290362,0.12449331602449057,0.1271870795521
High Risk,102687,1404293350.0,0.23657326782715543,0.5953749028588033,0.23483985314596784,377820512.13089997,24115,0.23671400932749986,0.28170526659429473,0.26904671458488355
Very High Risk,102688,1851807325.0,0.38703965590318923,0.8441279398930254,0.38856536304144595,711560703.8813918,39901,0.3121489797005608,0.5305439788178661,0.38425201924362823
